id	name	region	latitude	longitude	url	question	answer1	answer2	answer3	correct	created_at	updated_at	hiragana	url_status	url_checked_at
1	清水寺	京都	34.9955	135.783	https://ja.wikipedia.org/wiki/清水寺	810年の薬子の変では平城上皇の脱出を阻止する働きをしたのは誰？	坂上田村麻呂	藤原仲成	文室綿麻呂	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きよみずでら	valid	2026-08-29 02:29:32 UTC
2	龍安寺	京都	35.0345	135.718	http://www.ryoanji.jp/top.html	龍安寺石庭の石の数は？	9個	12個	15個	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	りょうあんじ	valid	2026-08-29 02:29:32 UTC
3	京都タワー	京都	34.9875	135.759	https://www.kyoto-tower.jp/	京都駅の真正面に見える京都タワー。 京都タワービルの地下にある施設は何？	レストラン	宴会場	大浴場	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きょうとたわー	valid	2026-08-29 02:29:33 UTC
4	JR京都駅	京都	34.9855	135.758	https://ja.wikipedia.org/wiki/京都駅	日本一長いホームとして知られるJR京都駅のホームの長さは？	558m	672m	773m	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	じぇーあーるきょうとえき	valid	2026-08-29 02:29:33 UTC
5	晴明神社	京都	35.0277	135.752	https://ja.wikipedia.org/wiki/晴明神社	陰陽五行において金を克するのは	土	火	木	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	せいめいじんじゃ	valid	2026-08-29 02:29:34 UTC
6	一条戻橋	京都	35.0263	135.752	https://ja.wikipedia.org/wiki/一条戻橋	安倍晴明が使役したという式神、十二神将の一人、金毘羅童子は十二支のうち何の神か	亥	午	卯	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	いちじょうもどりばし	valid	2026-08-29 02:29:34 UTC
7	貴船神社	京都	35.1216	135.763	https://ja.wikipedia.org/wiki/貴船神社	丑の刻参りで頭にのせるのは	藁人形	五徳	五寸釘	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	きふねじんじゃ	valid	2026-08-29 02:29:35 UTC
8	鉄輪の井	京都	34.9982	135.763	https://www.city.kyoto.lg.jp/shimogyo/page/0000072733.html	鉄輪の井の「この井戸の水を飲むと縁が切れる」という伝説は何から生まれたといわれているか？	平家物語	源平盛衰記	太平記	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	かなわのい	valid	2026-08-29 02:29:37 UTC
9	仁和寺	京都	35.0281	135.714	https://ja.wikipedia.org/wiki/仁和寺	この寺にある御室八十八ヶ所霊場とは四国にある八十八ヶ所霊場に行けない人用に用意されているが、この八十八ヶ所霊場は誰にゆかりのある霊場か	兼好法師	西行	空海	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	にんなじ	valid	2026-08-29 02:29:38 UTC
10	賀茂大橋	京都	35.029	135.772	https://ja.wikipedia.org/wiki/葵祭	葵祭の斎王列を見物しようと車争いを演じた場面が登場するのは	源氏物語	平家物語	今昔物語	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	かもおおはし	valid	2026-08-29 02:29:38 UTC
11	白峰神社	京都	35.0298	135.753	https://ja.wikipedia.org/wiki/白峯神宮	この神社に祀られている崇徳上皇はどこに流刑となったか	讃岐	淡路	隠岐	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	しらみねじんじゃ	valid	2026-08-29 02:29:39 UTC
12	高瀬川	京都	35.0125	135.77	https://ja.wikipedia.org/wiki/高瀬川_(京都府)	森鴎外の高瀬舟で喜助が殺したのは	父	母	兄弟	3	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	たかせがわ	valid	2026-08-29 02:29:39 UTC
13	方広寺	京都	34.992	135.772	https://ja.wikipedia.org/wiki/方広寺	方広寺鐘銘事件として有名な梵鐘の銘文は、何の原因となったか	関ヶ原の役	大坂の陣	大塩平八郎の乱	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	ほうこうじ	valid	2026-08-29 02:29:40 UTC
14	六道珍皇寺	京都	34.9982	135.775	https://ja.wikipedia.org/wiki/六道珍皇寺	六道珍皇寺の井戸を通って冥界に通ったと伝わっている人物は	空海	小野篁	慶俊	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	ろくどうちんのうじ	valid	2026-08-29 02:29:40 UTC
15	東寺	京都	34.9821	135.748	https://ja.wikipedia.org/wiki/東寺	神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは神泉苑で空海と雨乞いの対決をしたのは	守敏	勤操	明恵	1	2026-09-07 12:30:59 UTC	2026-09-08 12:40:12 UTC	とうじ	valid	2026-08-29 02:29:41 UTC
16	西寺跡	京都	34.9809	135.738	https://ja.wikipedia.org/wiki/西寺	西寺を守敏に下賜したのは	桓武天皇	嵯峨天皇	平城天皇	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	さいじあと	valid	2026-08-29 02:29:41 UTC
17	神泉苑	京都	35.011	135.748	https://ja.wikipedia.org/wiki/神泉苑	神泉苑には何が住むと言われているか	不動明王	竜神	聖観音	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	しんせんえん	valid	2026-08-29 02:29:42 UTC
18	羅城門跡	京都	34.9793	135.743	https://ja.wikipedia.org/wiki/羅城門	今昔物語で羅城門に住む鬼にとられたのは何か	琵琶	月琴	箏	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	らじょうもん	valid	2026-08-29 02:29:42 UTC
19	八坂神社	京都	35.0037	135.777	https://ja.wikipedia.org/wiki/八坂神社	八坂神社の祭神は何か	素戔嗚尊	猿田彦大神	木花之佐久夜毘売	1	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	やさかじんじゃ	valid	2026-08-29 02:29:43 UTC
20	鹿苑寺（金閣寺）	京都	35.0392	135.732	https://ja.wikipedia.org/wiki/鹿苑寺	金閣寺放火事件を題材にした「金閣炎上」を書いた作家は	三島由紀夫	水上勉	司馬遼太郎	2	2026-09-07 12:30:59 UTC	2026-09-07 12:30:59 UTC	ろくおんじ	valid	2026-08-29 02:29:44 UTC
