id	name	created_at	updated_at
1	坂上田村麻呂	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
2	源氏物語	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
3	真言宗	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
4	806年	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
5	清水観音	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
6	臨済宗	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
7	日本庭園	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
8	1450年	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
9	禅	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
10	観光	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
11	展望台	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
12	安倍晴明	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
13	丑の刻参り	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
14	平家	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
15	和泉式部	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
16	鉄輪	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
17	式神	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
18	哲学の道	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
19	源平盛衰記	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
20	空海	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
21	下鴨神社	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
22	賀茂川	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
23	鴨川	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
24	上賀茂神社	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
25	葵祭	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
26	流鏑馬	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
27	崇徳上皇	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
28	祇園祭	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
29	四国	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
30	保元の乱	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
31	方広寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
32	森鴎外	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
33	東福寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
34	南禅寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
35	豊臣秀吉	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
36	小野篁	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
37	羅城門	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
38	西寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
39	神泉苑	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
40	守敏	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
41	真言	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
42	二条城	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
43	東寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
44	朱雀大路	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
45	平安神宮	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
46	興福寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
47	足利義満	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
48	銀閣	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
49	応仁の乱	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
50	足利義政	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
51	鹿苑寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
52	金閣寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
53	五山	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
54	予約001	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
55	醍醐寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
56	伏見稲荷大社	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
57	相国寺	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
58	文化財	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
59	漫画	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
60	国宝	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
61	重要文化財	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
62	源頼家	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
63	栄西	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
64	梅小路公園	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
65	予約	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
66	アップル	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
67	古事記	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
68	天台宗	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
69	商業施設	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
70	繁華街	2026-09-07 12:30:58 UTC	2026-09-07 12:30:58 UTC
